count,diagnosis,group_name,subgroup_name,male_count,female_count,age_mean,age_median,age_minimum,age_maximum,age_range,imaging_sample,age_mean_female,age_median_female,age_minimum_female,age_maximum_female,pmcid
25.0,healthy,healthy,healthy subjects,18.0,7.0,23.16,23.0,,,,,,,,,5924771
8.0,null,patients,postnatal day 18,8.0,6.0,,,,,null,yes,,,,,6520292
7.0,null,patients,postnatal day 5286,7.0,6.0,,,,,null,yes,,,,,6520292
30.0,healthy,healthy,healthy adults,20.0,10.0,26.0,26.0,21.0,31.0,21-31,yes,,,,,10889874
10749.0,autoimmune diseases,patients,SLE,5379.0,540.0,31.4,28.0,,,,,,,,,6713388
10749.0,autoimmune diseases,patients,non-SLE autoimmune diseases,,,,,,,,,,,,,6713388
11443.0,non-autoimmune diseases,patients,non-autoimmune diseases,,,,,,,,,,,,,6713388
0.0,,healthy,null,,,,,,,,,,,,,5931657
16.0,prostate cancer,patients,prostate tumor specimens,,,,,,,,yes,,,,,4103770
32.0,clinically definite relapsing-remitting MS,patients,MS patients,0.0,32.0,,,,,,,,,,,2813302
21.0,healthy,healthy,healthy controls,0.0,21.0,,,,,,,,,,,2813302
30.0,recurrent UTI,patients,recurrent UTI,0.0,30.0,,,,,,yes,,,,,3655152
10.0,controls,healthy,controls,0.0,10.0,,,,,,yes,,,,,3655152
13.0,active TB,patients,T0,7.0,6.0,,,50.0,58.0,50-58,yes,,,,,2678250
9.0,LTBI,healthy,LTBI,5.0,4.0,,,30.0,45.0,30-45,yes,,,,,2678250
25.0,MDD,patients,MDD patients,,,,,,,,,,,,,9001100
24.0,Healthy Controls,healthy,HCs,,,,,,,,,,,,,9001100
0.0,chronic pain,patients,chronic pain patients,,,,,,,,,,,,,9513358
0.0,healthy,healthy,healthy participants,,,,,,,,,,,,,9513358
110.0,"moderate-to-severe, treatment-resistant depression",patients,treatment-seeking adults,,,,,,,,yes,,,,,8410762
21.0,MDD,patients,"first episode, short duration, untreated",13.0,8.0,,,18.0,56.0,,,,,,,5661170
25.0,healthy,healthy,"matched for age, gender, and education years",,,,,,,,,,,,,5661170
19.0,schizophrenia or schizoaffective disorder,patients,raloxifene trial,,,35.0,,,,null,yes,,,,,4781892
977.0,null,patients,children,525.0,452.0,38.8,38.0,32.0,37.0,32-37,,,,,,8978891
1199.0,null,patients,adults,131.0,1068.0,27.0,,,,null,,,,,,8978891
20.0,Parkinson's Disease,patients,PD,,,,,,,,yes,,,,,6292599
20.0,Healthy Controls,healthy,HC,,,,,,,,yes,,,,,6292599
3.0,null,patients,Macaca mulatta,3.0,0.0,,,,,null,,,,,,4244037
285.0,HGG and LGG,patients,HGG,,,,,,,,,,,,,10796062
285.0,HGG and LGG,patients,LGG,,,,,,,,,,,,,10796062
4.0,CJD,patients,CJD patients,,,,,,,,,,,,,4395093
4.0,AD,patients,AD patients,,,,,,,,,,,,,4395093
4.0,CJD,controls,age-matched controls,,,,,,,,,,,,,4395093
4.0,AD,controls,age-matched controls,,,,,,,,,,,,,4395093
65.0,osteoporosis,patients,osteoporotic,0.0,65.0,,,,,,yes,,,,,10584188
61.0,normal-BMD,patients,normal-BMD,0.0,61.0,,,,,,yes,,,,,10584188
11.0,null,patients,hawksbill turtles,0.0,11.0,,,,,,,,,,,7886132
11.0,null,patients,loggerhead turtles,1.0,10.0,,,,,,,,,,,7886132
1.0,null,patients,green turtle,1.0,0.0,,,,,,,,,,,7886132
539.0,Diabetes Mellitus,patients,Newly diagnosed DM patients,301.0,238.0,46.05,,15.0,120.0,15-120,yes,,,,,9560537
970.0,HIV-positive,patients,Black women,0.0,970.0,,,,,,,,,,,5714351
288.0,HIV-negative,patients,Black women,0.0,288.0,,,,,,,,,,,5714351
6.0,control,healthy,female-control,0.0,6.0,,,,,,yes,,,,,3313971
6.0,cafeteria,patients,female-cafeteria,0.0,6.0,,,,,,yes,,,,,3313971
6.0,control,healthy,male-control,6.0,0.0,,,,,,yes,,,,,3313971
6.0,cafeteria,patients,male-cafeteria,6.0,0.0,,,,,,yes,,,,,3313971
646.0,null,patients,young adults,283.0,363.0,20.08,20.0,16.0,24.0,16-24,,,,,,9942989
7.0,EIH,patients,endurance-trained athletes,7.0,0.0,,,,,,,,,,,5008680
8.0,non-EIH,patients,endurance-trained athletes,8.0,0.0,,,,,,,,,,,5008680
8.0,none,healthy,untrained,,,,,,,,,,,,,5008680
5.0,DSS treatment,patients,FVB-N mice,3.0,2.0,,,,,,,,,,,3411826
2.0,DSS treatment,patients,C57BL6 procollagen 1(I)-GFP reporter mice,2.0,0.0,,,,,,,,,,,3411826
25.0,sporadic PTC,patients,Japanese PTCs,4.0,21.0,53.3,,18.0,81.0,18-81,yes,,,,,3340412
20.0,current car drivers,patients,current drivers,,,68.0,68.0,60.0,79.0,60-79,yes,,,,,7228106
2.0,former car drivers,patients,former drivers,0.0,2.0,,,,,,yes,,,,,7228106
5.0,SAP102 mutant,patients,SAP102,3.0,2.0,,,,,,,,,,,2110885
5.0,wild-type,healthy,SAP102,3.0,2.0,,,,,,,,,,,2110885
4.0,SAP102 mutant,patients,C57BL/6j,2.0,2.0,,,,,,,,,,,2110885
5.0,PSD-95 mutant,patients,hippocampus,3.0,2.0,,,,,,,,,,,2110885
4.0,wild-type,healthy,hippocampus,2.0,2.0,,,,,,,,,,,2110885
2.0,PSD-95 mutant,patients,cortex,1.0,1.0,,,,,,,,,,,2110885
2.0,wild-type,healthy,cortex,1.0,1.0,,,,,,,,,,,2110885
194.0,null,healthy,female healthcare professionals,0.0,194.0,33.14,33.0,21.0,65.0,21-65,,,,,,11008815
70.0,healthy,healthy,Condition 1Human Body Part,,,27.5,,18.0,61.0,18-61,yes,,,,,8292743
70.0,healthy,healthy,Condition 2Animal Body Part,,,27.5,,18.0,61.0,18-61,yes,,,,,8292743
43.0,chronic WAD,patients,chronic WAD,18.0,25.0,39.4,39.0,18.0,65.0,18-65,,,,,,5967697
16.0,asymptomatic controls,healthy,asymptomatic controls,5.0,11.0,38.6,39.0,18.0,65.0,18-65,,,,,,5967697
69.0,Alzheimer Disease,patients,AD,,,,,,,,,,,,,3720883
62.0,Mild Cognitive Impairment,patients,MCI,,,,,,,,,,,,,3720883
68.0,Cognitively Normal,healthy,NC,,,,,,,,,,,,,3720883
9.0,"AN, BN, Other Specified Feeding or Eating Disorder",patients,Eating Disorder Patients,0.0,9.0,26.6,25.0,19.0,43.0,19-43,,,,,,7890966
997.0,breast cancer,patients,discovery,,,,,,,,,,,,,4488510
989.0,breast cancer,patients,validation,,,,,,,,,,,,,4488510
1570.0,breast cancer,patients,ROCK,,,,,,,,,,,,,4488510
6.0,null,patients,ADSCs,0.0,6.0,,,29.0,37.0,,,,,,,3789739
7.0,ATTR-CA,patients,positive Tc-PYP,7.0,0.0,,,,,,,,,,,8270434
0.0,,healthy,rBA,,,,,,,,,,,,,4954705
16.0,healthy,healthy,participants,7.0,9.0,26.6,,20.0,38.0,20-38,yes,,,,,4989013
36.0,null,patients,CB6F1 mice,18.0,18.0,20.0,20.0,20.0,20.0,20-20,yes,,,,,6043711
