pmcid,inclusion_criteria,exclusion_criteria,has_dedicated_section,criteria_location
5924771,"Twenty-five healthy subjects (seven females, 23.16  3.32 years old, seven left-handed) took part in this functional magnetic resonance imaging (fMRI) study. They all reported normal or corrected-to-normal vision, normal hearing and no neurological or psychiatric disorders.",,False,Participants section description
6520292,"Male and female Sprague-Dawley rats (postnatal day 18, n =8 male, 6 female; postnatal day 5286, n =7 male, 6 female) were sacrificed and brains fixed with 4% paraformaldehyde as previously described (Edwards, Madden, & Zup, ).",,False,Embedded in Animals section description
10889874,"thirty healthy adults (26 ± 5y, 10 Females) were recruited and completed the study. Participants self-reported being moderately active, nontobacco users, and free from any psychological, cardiovascular, and pulmonary diseases. Participants completed the Montreal Cognitive Assessment (MoCA) version 8.1 and had to score the age group median score of at least of 26 out of 30 to participate in the study (average score: 29 ± 1)","Participants self-reported being moderately active, nontobacco users, and free from any psychological, cardiovascular, and pulmonary diseases. Participants were also free of sickle cell trait and disease. Females self-reported to be normally menstruating and were confirmed not to be pregnant via pregnancy test.",False,Embedded in Participants section description
3435413,,,False,No specific criteria mentioned
6713388,"The inclusion criteria were blood samples from patients who were Chinese, had complete demographic information, and had laboratory results for the CMV antigenemia test.","Exclusion criteria were blood samples from patients who: were foreigners (as the study was designed for Chinese patients only), from those who had no demographic information, or from those had no laboratory test results for CMV antigenemia. More than one of blood samples collected in fewer than 3 days from one patient were considered repeated samples, and only the first sample was included for analysis; the remaining samples were excluded.",True,Methods section with dedicated Inclusion/Exclusion subsections
5931657,,,False,No specific criteria mentioned
4103770,,,False,No specific criteria mentioned
2813302,"All subjects with a desire to become pregnant were potentially included in the study and informed, written consent was obtained from each of them.","Three women who had an abortion in the first trimester were excluded, while two patients were excluded because they were not clinical homogeneous with the remaining patients: one had a clinical isolated syndrome (CIS) and one had a severe iron deficiency anemia concurrent to MS.",False,Patients and Controls section
4865231,,,False,No specific criteria mentioned
3655152,Recurrent UTI was defined as at least three symptomatic and medically diagnosed UTI in the previous 12 months. All patients were treated actively according to the latest urine culture and followed by antimicrobial prophylaxis for at least 1 month. The bladder biopsies were performed at one to two months after the UTI episode had been completely resolved and urine analysis and urine culture all showed negative.,The women of control group were the cases of stress urinary incontinence and the specimens were taken during anti-incontinence surgery.,False,Embedded in Materials and Methods section description
