neuroimaging_modality,fmri_design_type,event_design,task_type,condition_type,conditions,total_length_seconds,mri_field_strength,pulse_sequence_type,imaging_type,resolution_mm,analysis_software,preprocessing_steps,statistical_model,pain_type,pain_location,pain_modality,pain_intensity,pain_duration,pmcid
fMRI-BOLD,resting-state,,,,,360.0,1.5T,echo planar imaging,EPI,3,DARSF 4.0,"['motion correction', 'slice timing correction']",ANOVA,,,,,,9001100
Diffusion MRI,,,,,,,3T,single-shot echo planar imaging,,1 mm,PANDA,"['stripping of skull and other non-cerebral material', 'correcting eddy currents and movements by the EDDY tool', 'fitting and eigen-decomposition of diffusion tensor', 'computation of FA volume']",GLM,,,,,,6131631
MRI,,,,,,,3T,MPRAGE,,1 mm,FSL,,,,,,,,6131631
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['no risk', 'reward risk', 'behavioral risk']",360.0,3T,spiral-in,EPI,3.75x3.75x3.8,FSL,"['motion correction', 'slice timing correction']",GLM,,,,,,3242169
MEG,,event-related,motor,,,1200.0,,,,,BESA,"['motion correction', 'noise reduction']",GLM,,,,,,5440753
MRI,,,,,,,3T,gradient echo,3D,1.0,FreeSurfer,"['Talairach registration', 'intensity variations correction', 'skull-stripping', 'topological defect correction']",GLM,,,,,,5357686
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['possible-win', 'possible-loss', 'neutral']",480.0,3T,gradient echo,echo planar imaging (EPI),3.1,SPM8,"['motion correction', 'spatial normalization', 'image smoothing']",GLM,,,,,,3960334
PET,,,,,,600.0,,,3D,2.22,SPM8,"['spatial normalization', 'smoothing']",voxel-wised two-sample t-test,,,,,,3866135
fMRI,task-based,mixed,cognitive,non-painful,"['Go', 'NoGo']",,3T,gradient echo,EPI,2.2,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,5686258
MRI,,,,,,,3T,,,1,FSL-VBM,"['brain extraction', 'tissue segmentation']",GLM,,,,,,10049956
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['self-agency', 'other-agency']",820.0,3T,gradient echo,echo planar imaging (EPI),2.29,SPM8,"['realignment', 'unwarping', 'coregistration', 'normalization', 'smoothing']",GLM,,,,,,3783899
fMRI,task-based,event-related,cognitive,neutral,"['optimistic', 'pessimistic', 'ambiguous']",10.0,3T,gradient echo,echo planar imaging (EPI),1,SPM12,"['slice-time correction', 'unwarping', 'spatial realignment']",GLM,,,,,,8599192
